id,firebase_key,power,mode,eco,powerful,temp_room,temp_set,humidity,timestamp,created_at
2179348,240,1,HEAT,1,0,25.0,24.0,18.0,14431113,2026-04-06 12:08:09
2188748,241,1,HEAT,0,1,24.0,24.0,19.0,14842574,2026-04-06 12:14:59
2188991,242,1,HEAT,0,0,24.0,24.0,19.0,14851342,2026-04-06 12:15:10
2188992,243,1,HEAT,1,0,24.0,24.0,19.0,14854450,2026-04-06 12:15:10
2192165,244,1,COOL,1,0,24.0,24.0,19.0,14978113,2026-04-06 12:17:17
2192411,245,1,COOL,0,1,25.0,24.0,18.0,14985435,2026-04-06 12:17:27
2213568,246,1,COOL,0,1,25.0,24.0,18.0,15885869,2026-04-06 12:32:23
2214063,247,1,COOL,0,0,20.0,24.0,21.0,15903105,2026-04-06 12:32:44
2214064,248,1,COOL,1,0,21.0,24.0,20.0,15907228,2026-04-06 12:32:44
2214314,249,1,COOL,0,1,20.0,24.0,21.0,15910740,2026-04-06 12:32:55
2230314,250,1,COOL,0,1,20.0,24.0,21.0,16811178,2026-04-07 02:59:53
2230315,251,1,COOL,0,0,18.0,24.0,22.0,16841105,2026-04-07 02:59:53
2230316,252,1,COOL,1,0,18.0,24.0,22.0,16847863,2026-04-07 02:59:53
2230317,253,1,COOL,0,1,18.0,24.0,22.0,16851975,2026-04-07 02:59:53
2230318,254,1,COOL,0,1,18.0,24.0,23.0,17752405,2026-04-07 02:59:53
2230319,255,1,COOL,0,0,16.0,24.0,23.0,17795977,2026-04-07 02:59:53
2230320,256,1,COOL,1,0,16.0,24.0,23.0,17800078,2026-04-07 02:59:53
2230321,257,1,COOL,0,1,16.0,24.0,23.0,17803532,2026-04-07 02:59:53
2230322,258,1,COOL,0,1,16.0,24.0,23.0,18703977,2026-04-07 02:59:53
2230323,259,1,COOL,0,0,15.0,24.0,23.0,18728371,2026-04-07 02:59:53
2230324,260,1,COOL,1,0,15.0,24.0,25.0,18731524,2026-04-07 02:59:53
2230325,261,1,COOL,0,1,15.0,24.0,23.0,18735410,2026-04-07 02:59:53
2230326,262,1,HEAT,0,1,15.0,24.0,23.0,19130501,2026-04-07 02:59:53
2230327,263,1,HEAT,0,0,15.0,24.0,23.0,19134273,2026-04-07 02:59:53
2230328,264,1,HEAT,1,0,15.0,24.0,23.0,19136730,2026-04-07 02:59:53
2230329,265,1,HEAT,0,1,16.0,24.0,23.0,19139982,2026-04-07 02:59:53
2230330,266,1,HEAT,0,1,15.0,24.0,23.0,20040381,2026-04-07 02:59:53
2230331,267,1,HEAT,0,1,24.0,24.0,19.0,20941645,2026-04-07 02:59:53
2230332,268,1,HEAT,0,1,25.0,24.0,18.0,21843052,2026-04-07 02:59:53
2230333,269,1,HEAT,0,1,24.0,24.0,19.0,22744323,2026-04-07 02:59:53
2230334,270,1,COOL,0,1,27.0,24.0,17.0,23372085,2026-04-07 02:59:53
2230335,271,1,COOL,0,1,25.0,24.0,18.0,24273391,2026-04-07 02:59:53
2230336,272,1,COOL,0,0,19.0,24.0,21.0,24341776,2026-04-07 02:59:53
2230337,273,1,HEAT,0,0,19.0,24.0,21.0,24345033,2026-04-07 02:59:53
2230338,274,1,HEAT,1,0,19.0,24.0,21.0,24355392,2026-04-07 02:59:53
2230339,275,1,HEAT,0,1,19.0,24.0,21.0,24360550,2026-04-07 02:59:53
2230340,276,1,COOL,0,1,20.0,24.0,21.0,24369116,2026-04-07 02:59:53
2230341,277,1,COOL,0,1,20.0,24.0,21.0,25269552,2026-04-07 02:59:53
2230342,278,1,COOL,0,0,17.0,24.0,22.0,25290720,2026-04-07 02:59:53
2230343,279,1,COOL,1,0,17.0,24.0,22.0,25293840,2026-04-07 02:59:53
2230344,280,1,COOL,0,1,17.0,24.0,22.0,25297348,2026-04-07 02:59:53
2230345,281,1,COOL,0,0,17.0,24.0,22.0,25303717,2026-04-07 02:59:53
2230346,282,1,COOL,1,0,17.0,24.0,22.0,25306720,2026-04-07 02:59:53
2230347,283,1,COOL,0,1,17.0,24.0,22.0,25310082,2026-04-07 02:59:53
2230348,284,1,COOL,0,1,17.0,24.0,22.0,26210533,2026-04-07 02:59:53
2230349,285,1,COOL,0,1,15.0,24.0,23.0,27112020,2026-04-07 02:59:53
2230350,286,1,COOL,0,1,16.0,24.0,23.0,28013423,2026-04-07 02:59:53
